timestamp,Belmore Rd,Concord Rd West,Elizabeth St B,Middle St A
2024-03-15 00:00:00,2.0,,,
2024-03-15 01:00:00,0.0,,,
2024-03-15 02:00:00,0.0,,,
2024-03-15 03:00:00,1.0,,,
2024-03-15 04:00:00,1.0,,,
2024-03-15 05:00:00,6.0,,,
2024-03-15 06:00:00,7.0,,,
2024-03-15 07:00:00,35.0,,,
2024-03-15 08:00:00,58.0,,,
2024-03-15 09:00:00,22.0,,,
2024-03-15 10:00:00,23.0,,,
2024-03-15 11:00:00,214.0,,,
2024-03-15 12:00:00,299.0,,,
2024-03-15 13:00:00,282.0,,,
2024-03-15 14:00:00,269.0,,,
2024-03-15 15:00:00,286.0,,,
2024-03-15 16:00:00,354.0,,,
2024-03-15 17:00:00,342.0,,,
2024-03-15 18:00:00,285.0,,,
2024-03-15 19:00:00,226.0,,,
2024-03-15 20:00:00,155.0,,,
2024-03-15 21:00:00,120.0,,,
2024-03-15 22:00:00,71.0,,,
2024-03-15 23:00:00,33.0,,,
2024-03-18 00:00:00,21.0,,,
2024-03-18 01:00:00,12.0,,,
2024-03-18 02:00:00,3.0,,,
2024-03-18 03:00:00,3.0,,,
2024-03-18 04:00:00,6.0,,,
2024-03-18 05:00:00,23.0,,,
2024-03-18 06:00:00,73.0,,,
2024-03-18 07:00:00,140.0,,,
2024-03-18 08:00:00,253.0,,,
2024-03-18 09:00:00,256.3333333333333,,,
2024-03-18 10:00:00,259.6666666666667,,,
2024-03-18 11:00:00,263.0,,,
2024-03-18 12:00:00,307.0,,,
2024-03-18 13:00:00,299.0,,,
2024-03-18 14:00:00,249.0,,,
2024-03-18 15:00:00,293.0,,,
2024-03-18 16:00:00,294.0,,,
2024-03-18 17:00:00,316.0,,,
2024-03-18 18:00:00,264.0,,,
2024-03-18 19:00:00,207.0,,,
2024-03-18 20:00:00,88.0,,,
2024-03-18 21:00:00,83.0,,,
2024-03-18 22:00:00,44.0,,,
2024-03-18 23:00:00,27.0,,,
2024-03-19 00:00:00,13.393348195271939,,,
2024-03-19 01:00:00,7.319981946000164,,,
2024-03-19 02:00:00,2.2925108327931674,,,
2024-03-19 03:00:00,2.3256411337789604,,,
2024-03-19 04:00:00,3.385926181888732,,,
2024-03-19 05:00:00,13.975379299070694,,,
2024-03-19 06:00:00,39.19101835093234,,,
2024-03-19 07:00:00,86.35524453855136,,,
2024-03-19 08:00:00,154.21912023088186,,,
2024-03-19 09:00:00,137.59759658028491,,,
2024-03-19 10:00:00,139.34459584826044,,,
2024-03-19 11:00:00,235.36152289790198,,,
2024-03-19 12:00:00,299.32572762671526,,,
2024-03-19 13:00:00,286.57276403881446,,,
2024-03-19 14:00:00,254.71495770934445,,,
2024-03-19 15:00:00,285.13674210411926,,,
2024-03-19 16:00:00,319.25371938298787,,,
2024-03-19 17:00:00,324.331633989112,,,
2024-03-19 18:00:00,269.8772959503041,,,
2024-03-19 19:00:00,211.94647050293582,,,
2024-03-19 20:00:00,116.81552176889454,,,
2024-03-19 21:00:00,96.89688714417524,,,
2024-03-19 22:00:00,52.79968431713684,,,
2024-03-19 23:00:00,25.100571605559733,,,
2024-03-20 00:00:00,11.83428595732895,,,
2024-03-20 01:00:00,6.040294294233707,,,
2024-03-20 02:00:00,1.2421355198459558,,,
2024-03-20 03:00:00,1.4634867662456061,,,
2024-03-20 04:00:00,2.678264697184555,,,
2024-03-20 05:00:00,13.394526500787624,,,
2024-03-20 06:00:00,38.714250884331676,,,
2024-03-20 07:00:00,85.96391093754143,,,
2024-03-20 08:00:00,153.89791126003638,,,
2024-03-20 09:00:00,137.33394632718796,,,
2024-03-20 10:00:00,139.12819013650488,,,
2024-03-20 11:00:00,235.18389578952514,,,
2024-03-20 12:00:00,299.17993022897394,,,
2024-03-20 13:00:00,286.45309265879604,,,
2024-03-20 14:00:00,254.6167307216384,,,
2024-03-20 15:00:00,285.0561168024613,,,
2024-03-20 16:00:00,319.1875416509893,,,
2024-03-20 17:00:00,324.27731490909105,,,
